CREDIT_LIMIT,CUSTOMER_ID,HAS_PROD_Cashback_Card,HAS_PROD_Classic_Credit_Card,HAS_PROD_Gold_Credit_Card,HAS_PROD_Platinum_Credit_Card,HAS_PROD_Titanium_Credit_Card,HAS_PROD_Travel_Rewards_Card,HAS_PROD_World_Elite_Card,AGE_GROUP_18_25
15000,124,1,0,0,0,1,0,1,False
100000,125,0,0,0,1,0,0,0,False
20000,126,1,0,0,0,0,0,0,False
150000,127,0,0,0,1,0,0,0,False
10000,128,1,0,1,0,0,0,0,False
15000,129,1,0,1,0,0,0,0,False
100000,130,0,0,0,0,0,0,1,False
75000,131,0,0,0,1,1,0,0,False
10000,132,0,1,0,0,0,0,0,False
15000,133,0,1,0,0,0,0,0,False
15000,134,1,0,0,0,0,0,0,False
200000,135,0,0,0,1,0,0,0,False
20000,136,0,1,0,0,0,0,0,False
20000,137,0,0,1,0,0,0,0,False
50000,138,0,0,0,0,1,0,0,False
20000,139,0,0,0,0,0,0,0,False
150000,140,0,0,0,0,0,1,1,False
200000,141,0,0,0,0,0,1,1,False
30000,142,1,0,0,0,0,0,0,False
15000,143,1,0,0,0,0,0,0,False
30000,144,1,0,1,0,0,0,0,False
30000,145,0,1,0,0,0,0,0,False
50000,146,1,0,0,1,0,1,0,False
5000,147,1,0,1,0,1,0,0,False
30000,148,0,0,0,0,0,0,0,False
30000,149,0,0,0,0,0,0,0,False
75000,150,0,0,0,1,0,0,0,False
200000,151,0,0,0,0,0,0,1,False
75000,152,0,0,0,1,0,0,0,False
200000,153,0,0,0,1,0,0,0,False
10000,154,1,0,0,0,0,0,0,False
200000,155,0,0,0,0,0,0,0,False
75000,156,0,0,0,1,0,0,0,False
50000,157,0,0,0,0,0,0,0,False
200000,158,0,0,0,0,0,0,0,False
50000,159,0,0,0,0,0,0,0,False
15000,160,1,0,0,0,0,0,0,False
30000,161,0,1,0,0,0,0,0,False
75000,162,0,0,0,1,0,1,0,False
50000,163,0,0,0,1,0,0,0,False
100000,164,0,1,0,1,0,0,1,False
150000,165,0,0,0,0,0,0,1,False
200000,166,0,0,0,1,0,0,0,False
20000,167,0,1,0,0,0,0,0,False
20000,168,0,0,1,0,0,0,0,False
20000,169,1,0,1,0,0,0,0,False
150000,170,0,0,0,1,0,0,0,False
15000,171,1,0,0,0,0,0,0,False
100000,172,0,0,0,1,0,0,0,False
20000,173,0,0,1,0,0,0,0,False
15000,174,1,0,0,0,0,1,0,False
15000,175,1,0,0,0,0,0,0,False
150000,176,0,0,0,0,0,0,1,False
200000,177,0,0,0,0,0,0,1,False
20000,178,0,1,0,0,0,0,0,False
20000,179,1,0,0,0,0,0,1,False
150000,180,0,0,0,0,0,0,0,False
150000,181,0,0,0,0,0,0,0,False
150000,182,0,0,0,1,0,0,0,False
5000,183,1,0,0,0,0,0,0,False
50000,184,0,0,1,1,0,1,0,False
30000,185,1,0,0,0,0,0,0,False
50000,186,0,0,0,0,1,0,0,False
75000,187,0,0,0,0,1,0,0,False
100000,188,0,0,0,1,0,1,0,False
20000,189,1,1,0,0,0,0,0,False
150000,190,0,0,0,0,0,0,1,False
15000,191,1,0,0,0,0,0,0,False
20000,192,0,1,0,0,0,0,0,False
15000,193,0,0,1,0,0,0,0,False
100000,194,0,0,0,0,0,0,1,False
75000,195,0,0,0,1,0,0,0,False
5000,196,0,1,0,0,0,0,0,False
100000,197,0,0,0,1,0,0,0,False
10000,198,1,0,0,0,0,0,0,False
30000,199,0,1,0,0,0,0,0,False
200000,200,0,0,0,0,0,1,1,False
30000,201,0,1,0,0,0,0,0,False
100000,202,0,0,0,1,0,0,0,False
100000,203,0,0,0,0,0,0,1,False
200000,204,0,0,0,1,0,0,0,False
5000,205,1,1,0,0,1,0,0,False
75000,206,0,0,0,0,1,0,0,False
10000,207,0,0,1,0,0,0,0,False
10000,208,1,0,0,0,0,0,0,False
100000,209,0,0,0,0,0,0,1,False
100000,210,0,0,0,1,0,0,0,False
15000,211,1,0,0,0,0,0,0,False
75000,212,0,0,0,1,0,1,0,False
150000,213,0,0,0,0,0,0,1,False
200000,214,0,0,0,1,0,0,0,False
50000,215,0,0,0,1,0,0,0,False
75000,216,0,0,0,1,0,0,0,False
5000,217,0,0,0,0,0,0,0,False
10000,218,0,1,0,0,0,0,0,False
150000,219,0,0,0,0,0,0,1,False
10000,220,0,1,0,0,0,0,0,False
20000,221,1,0,0,0,0,0,0,False
30000,222,0,0,1,0,0,0,0,False
5000,223,0,1,0,1,0,0,0,False
75000,224,0,0,0,1,0,0,0,False
5000,225,1,0,1,0,0,0,0,False
30000,226,0,1,0,0,0,0,0,False
100000,227,0,0,0,1,0,0,0,False
50000,228,0,0,0,0,1,0,0,False
200000,229,0,0,0,1,0,0,0,False
75000,230,0,0,0,1,0,1,0,False
5000,231,0,0,1,0,0,0,0,False
15000,232,0,0,1,0,0,0,0,False
200000,233,0,0,0,1,0,1,0,False
20000,234,0,0,0,0,0,0,0,False
200000,235,0,0,0,0,0,0,1,False
75000,236,0,0,0,0,1,0,0,False
30000,237,0,1,0,0,0,0,0,False
5000,238,0,0,1,0,0,0,0,False
5000,239,0,0,1,0,0,0,0,False
30000,240,1,0,0,0,0,0,0,False
15000,241,1,0,0,0,0,1,0,False
75000,242,0,0,0,1,0,0,0,False
10000,243,0,1,0,0,0,0,0,False
50000,244,0,0,0,1,0,0,0,False
200000,245,0,0,1,0,0,1,0,False
50000,246,0,0,0,0,1,0,0,False
30000,247,0,1,0,0,0,0,0,False
75000,248,0,0,0,1,0,0,0,False
30000,249,0,1,0,0,0,0,0,False
10000,250,0,1,0,0,0,0,0,False
200000,251,0,0,0,1,0,0,0,False
30000,252,0,0,1,0,0,0,0,False
20000,253,0,0,1,0,0,0,0,False
15000,254,1,0,1,0,0,0,1,False
15000,255,0,1,0,0,0,0,0,False
30000,256,0,0,0,0,0,0,0,False
20000,257,0,0,1,0,1,0,0,False
15000,258,0,1,0,0,0,0,0,False
20000,259,1,0,0,0,0,0,0,False
15000,260,1,0,0,0,0,0,0,False
20000,261,0,0,0,0,0,0,0,False
100000,262,0,0,0,0,0,0,1,False
15000,263,0,0,1,0,1,0,0,False
100000,264,0,0,0,1,0,0,0,False
200000,265,0,0,0,0,0,1,1,False
20000,266,1,1,1,0,0,0,0,False
5000,267,1,0,0,0,0,0,0,False
100000,268,0,0,0,0,0,0,1,False
10000,269,0,0,1,0,0,0,0,False
200000,270,0,0,0,0,0,0,1,False
30000,271,0,0,1,0,0,0,0,False
100000,272,0,0,0,0,0,0,1,False
30000,273,0,0,1,0,0,0,0,False
30000,274,1,1,0,0,0,0,0,False
5000,275,0,0,1,0,0,1,0,False
150000,276,0,0,0,0,0,0,1,False
75000,277,0,0,1,0,1,0,0,False
150000,278,0,1,0,1,0,0,0,False
10000,279,0,0,1,0,1,0,0,False
30000,280,1,0,0,0,0,0,0,False
30000,281,0,0,1,0,0,0,0,False
50000,282,0,0,0,1,0,1,0,False
10000,283,1,0,1,0,0,0,0,False
5000,284,1,0,1,0,0,0,0,False
200000,285,0,0,0,1,0,0,0,False
5000,286,0,1,0,0,0,1,0,False
15000,287,1,1,0,0,0,0,0,False
30000,288,1,0,1,0,0,0,0,False
100000,289,0,0,0,1,0,0,0,False
5000,290,0,0,1,0,0,0,0,False
200000,291,0,0,0,1,0,1,0,False
150000,292,0,0,0,1,0,0,0,False
30000,293,1,0,1,0,0,0,0,False
20000,294,1,0,0,0,0,0,0,False
200000,295,0,0,0,0,0,0,1,False
30000,296,1,1,0,0,0,0,0,False
75000,297,0,0,0,1,0,0,0,False
20000,298,0,0,1,0,0,0,0,False
30000,299,1,0,0,0,0,0,0,False
5000,300,0,1,0,0,0,0,0,False
200000,301,0,0,0,0,0,0,1,False
30000,302,0,0,1,0,0,0,0,False
75000,303,0,0,0,1,0,0,0,False
20000,304,1,0,1,0,0,0,0,False
100000,305,0,1,0,0,0,1,1,False
15000,306,0,0,1,0,1,0,0,False
50000,307,0,0,0,0,1,1,0,False
100000,308,0,0,0,0,0,0,1,False
200000,309,0,0,0,1,0,0,0,False
100000,310,0,0,0,1,0,0,0,False
10000,311,0,1,0,0,0,0,0,False
150000,312,0,0,0,0,0,1,0,False
150000,313,0,0,0,0,0,0,1,False
10000,314,0,1,0,0,0,0,0,False
200000,315,0,0,0,0,0,1,1,False
200000,316,0,0,0,1,0,0,0,False
150000,317,0,0,0,0,0,0,1,False
20000,318,1,0,1,1,0,0,0,False
150000,319,0,1,0,0,0,1,1,False
10000,320,1,0,0,0,0,0,0,False
30000,321,1,1,0,0,0,0,0,False
50000,322,0,0,0,1,0,1,0,False
30000,323,1,1,0,0,0,0,0,False
30000,324,0,1,0,0,0,0,0,False
20000,325,1,0,0,0,0,0,0,False
20000,326,0,0,1,0,0,1,0,False
15000,327,1,1,0,0,0,0,0,False
15000,328,0,0,1,0,0,0,0,False
150000,329,0,0,1,0,0,1,1,False
30000,330,1,0,0,0,1,0,1,False
75000,331,0,0,0,0,1,0,0,False
20000,332,0,1,0,0,0,0,0,False
20000,333,1,0,0,0,0,0,0,False
15000,334,1,0,0,0,0,0,0,False
10000,335,1,0,0,0,0,0,0,False
30000,336,0,0,1,0,0,0,0,False
150000,337,0,0,0,0,0,1,1,False
150000,338,0,0,0,1,0,0,0,False
15000,339,1,0,0,0,1,0,0,False
15000,340,1,0,0,0,0,0,0,False
15000,341,0,0,1,0,0,0,0,False
15000,342,1,0,1,0,0,0,0,False
150000,343,0,0,0,0,0,0,1,False
150000,344,0,0,0,1,0,0,0,False
150000,345,0,0,0,0,0,0,1,False
200000,346,0,1,0,1,0,0,0,False
150000,347,0,0,0,1,0,0,0,False
200000,348,0,0,0,1,0,0,0,False
50000,349,0,0,0,0,0,0,1,False
20000,350,0,0,1,0,0,0,0,False
200000,351,0,0,0,1,0,0,0,False
5000,352,0,1,0,0,0,0,0,False
100000,353,0,0,0,1,0,1,1,False
100000,354,0,0,0,0,0,0,1,False
15000,355,0,0,1,0,0,0,0,False
75000,356,0,0,0,1,0,0,0,False
10000,357,0,0,1,0,0,0,0,False
5000,358,1,0,0,0,0,0,0,False
75000,359,0,0,0,0,1,0,0,False
100000,360,0,0,0,1,0,0,0,False
100000,361,0,0,0,1,0,0,0,False
75000,362,0,0,0,1,0,0,0,False
5000,363,0,0,1,0,0,0,0,False
200000,364,0,0,0,1,0,0,0,False
75000,365,0,0,0,1,0,0,0,False
20000,366,1,1,1,0,0,0,0,False
10000,367,1,0,0,0,0,0,1,False
200000,368,0,0,0,1,0,0,0,False
150000,369,0,0,0,1,0,1,0,False
200000,370,0,0,0,0,0,0,1,False
200000,371,0,0,0,0,0,0,1,False
50000,372,0,0,0,0,0,0,1,False
15000,373,0,0,1,0,0,0,0,False
100000,374,0,0,0,0,0,0,1,False
20000,375,1,0,0,0,0,0,0,False
30000,376,0,1,0,0,0,0,0,False
15000,377,0,0,1,0,0,0,0,False
30000,378,1,0,0,0,0,0,0,False
100000,379,0,0,0,1,0,0,0,False
150000,380,0,0,0,1,0,1,0,False
50000,381,0,0,0,0,1,0,0,False
200000,382,0,0,0,1,0,0,0,False
30000,383,0,0,1,0,0,0,0,False
150000,384,0,0,0,0,0,0,1,False
15000,385,0,0,1,0,0,0,0,False
150000,386,0,0,0,1,0,0,0,False
100000,387,0,0,0,1,0,0,0,False
5000,388,0,0,0,1,1,0,0,False
150000,389,0,0,0,0,0,0,1,False
30000,390,1,0,0,0,0,0,0,False
200000,391,0,0,0,1,0,0,0,False
30000,392,1,1,0,0,0,0,0,False
50000,393,0,0,0,1,0,0,0,False
20000,394,1,1,0,0,0,0,0,False
150000,395,0,0,0,1,0,0,0,False
30000,396,0,1,0,0,0,0,0,False
200000,397,0,0,0,0,0,0,1,False
100000,398,0,0,0,1,0,0,0,False
50000,399,0,0,0,0,1,0,0,False
100000,400,0,0,0,1,0,0,0,False
150000,401,0,0,0,0,0,0,1,False
5000,402,1,0,1,0,0,0,0,False
50000,403,0,0,0,1,0,0,0,False
100000,404,0,0,0,1,0,0,0,False
100000,405,0,0,0,0,0,0,1,False
10000,406,0,1,0,0,0,0,0,False
200000,407,0,0,0,1,0,0,0,False
150000,408,0,0,0,0,0,0,1,False
50000,409,0,0,0,1,0,0,0,False
30000,410,0,1,0,0,0,0,0,False
150000,411,0,0,0,0,0,0,1,False
20000,412,0,0,1,0,0,0,0,False
15000,413,1,0,0,0,0,0,0,False
50000,414,0,0,0,0,1,0,1,False
50000,415,0,0,0,0,1,0,0,False
10000,416,0,0,1,0,0,0,0,False
10000,417,1,0,0,0,0,0,0,False
200000,418,0,0,0,0,0,0,1,False
75000,419,0,0,0,0,1,0,0,False
200000,420,0,0,0,0,0,0,1,False
15000,421,1,0,0,0,0,0,0,False
150000,422,0,0,0,1,0,1,0,False
30000,423,1,0,0,1,0,0,0,False
75000,424,0,0,0,1,0,1,1,False
150000,425,0,0,0,1,0,0,0,False
5000,426,0,1,0,0,1,0,0,False
20000,427,0,1,0,0,0,0,0,False
20000,428,1,0,0,0,0,0,0,False
150000,429,0,0,0,0,0,0,1,False
10000,430,1,0,0,0,0,0,0,False
15000,431,0,0,1,0,1,0,0,False
5000,432,0,1,0,1,1,0,0,False
75000,433,0,0,0,0,1,1,0,False
150000,434,0,0,0,0,0,0,1,False
100000,435,0,0,0,0,0,0,1,False
150000,436,0,0,0,1,0,0,0,False
15000,437,1,0,0,0,0,0,0,False
150000,438,0,0,0,0,0,0,1,False
30000,439,0,1,0,0,0,0,0,False
150000,440,0,0,0,1,0,0,0,False
20000,441,1,0,0,0,0,0,0,False
200000,442,0,0,0,0,0,0,1,False
200000,443,0,0,0,1,0,0,0,False
75000,444,0,0,0,0,1,0,0,False
200000,445,0,0,0,0,0,0,1,False
50000,446,0,0,0,0,1,0,0,False
5000,447,0,1,0,0,0,0,0,False
5000,448,0,0,1,0,0,0,0,False
50000,449,0,0,1,1,0,0,0,False
150000,450,0,0,0,1,0,0,0,False
200000,451,0,0,0,1,0,1,0,False
75000,452,0,0,0,0,1,0,0,False
20000,453,0,1,0,0,0,0,0,False
150000,454,0,0,0,1,0,0,0,False
100000,455,0,0,0,0,0,1,1,False
5000,456,1,0,1,0,0,0,0,False
30000,457,0,1,0,0,0,0,0,False
30000,458,0,1,0,0,0,0,0,False
10000,459,0,0,1,0,0,0,0,False
10000,460,0,1,0,0,0,0,0,False
200000,461,0,0,0,1,0,1,0,False
100000,462,0,0,0,1,0,0,0,False
30000,463,1,0,0,0,0,0,0,False
200000,464,0,0,0,1,0,1,0,False
200000,465,0,0,0,0,0,0,1,False
75000,466,0,0,0,1,0,0,0,False
30000,467,0,0,1,0,0,0,0,False
5000,468,0,0,1,0,1,0,0,False
5000,469,1,0,0,0,0,0,0,False
100000,470,0,0,0,1,0,0,0,False
15000,471,0,0,0,0,0,0,0,False
15000,472,1,0,0,0,0,0,0,False
20000,473,1,0,0,0,0,0,0,False
15000,474,1,1,1,0,0,0,0,False
5000,475,0,1,0,0,0,0,0,False
30000,476,1,0,0,0,0,0,0,False
30000,477,0,0,1,0,0,0,0,False
30000,478,0,1,0,0,0,0,0,False
100000,479,0,0,0,0,0,1,1,False
15000,480,0,0,1,0,0,0,0,False
150000,481,0,0,0,1,0,0,0,False
75000,482,1,0,0,1,0,1,0,False
75000,483,0,0,0,1,0,1,0,False
10000,484,1,0,0,0,0,0,0,False
200000,485,0,0,0,0,0,0,1,False
10000,486,0,0,1,0,0,0,0,False
30000,487,0,0,1,0,0,0,0,False
15000,488,0,0,0,0,0,0,0,False
200000,489,0,0,1,0,0,0,1,False
100000,490,0,0,0,0,0,0,0,False
50000,491,0,0,0,1,0,0,0,False
5000,492,0,0,1,0,0,0,0,False
5000,493,0,0,1,0,0,0,0,False
50000,494,0,0,0,1,0,0,0,False
100000,495,0,0,0,0,0,0,1,False
15000,496,0,1,0,0,0,0,0,False
50000,497,0,0,1,1,0,1,0,False
15000,498,0,0,1,0,0,0,0,False
10000,499,0,1,0,0,0,0,0,False
75000,500,0,0,0,1,0,1,0,False
20000,501,1,0,0,0,0,0,0,False
30000,502,0,1,0,0,0,0,0,False
75000,503,0,0,0,0,1,0,0,False
10000,504,1,0,0,0,1,0,0,False
10000,505,1,1,0,0,0,0,0,False
100000,506,0,0,0,0,0,0,1,False
5000,507,0,0,1,0,0,0,0,False
15000,508,1,1,0,0,0,1,0,False
20000,509,0,1,0,0,0,0,0,False
5000,510,0,0,1,0,0,0,0,False
50000,511,0,0,0,1,0,0,0,False
100000,512,0,0,0,1,0,1,0,False
30000,513,1,0,0,0,0,0,1,False
10000,514,1,0,0,0,0,0,0,False
15000,515,0,1,0,0,0,0,0,False
75000,516,0,0,0,0,1,0,0,False
30000,517,1,0,0,0,0,0,0,False
15000,518,0,1,0,0,0,0,0,False
15000,519,0,0,0,0,0,0,0,False
75000,520,0,0,0,0,1,0,0,False
20000,521,0,0,0,0,0,0,0,False
30000,522,1,0,0,0,0,1,0,False
50000,523,0,0,0,1,0,0,0,False
5000,524,0,1,0,1,1,0,0,False
15000,525,1,0,1,0,0,0,0,False
200000,526,0,0,0,0,0,0,1,False
150000,527,0,0,0,0,0,0,1,False
75000,528,0,0,0,1,1,0,0,False
10000,529,0,0,1,0,0,0,1,False
200000,530,0,0,0,1,0,0,0,False
30000,531,0,0,1,0,0,0,0,False
200000,532,0,0,0,1,0,0,0,False
75000,533,0,0,0,1,0,0,0,False
200000,534,0,0,0,1,0,0,0,False
100000,535,0,0,0,0,0,0,1,False
10000,536,1,0,0,0,0,0,0,False
10000,537,0,1,0,0,0,0,0,False
20000,538,0,1,0,0,0,0,0,False
30000,539,0,0,1,0,0,0,0,False
20000,540,0,1,0,0,0,0,0,False
5000,541,0,0,1,0,0,0,0,False
200000,542,0,0,0,1,0,0,0,False
150000,543,0,0,0,0,0,0,1,False
5000,544,1,0,0,0,0,1,0,False
20000,545,0,1,0,0,0,0,0,False
150000,546,0,0,0,1,0,0,0,False
30000,547,0,1,0,0,0,0,0,False
10000,548,0,0,1,0,0,0,0,False
10000,549,1,0,0,0,1,0,0,False
75000,550,0,0,0,0,0,0,0,False
5000,551,1,1,0,0,0,0,0,False
10000,552,1,0,0,0,0,0,0,False
50000,553,0,0,0,1,0,0,0,False
15000,554,0,0,1,0,0,0,0,False
150000,555,0,0,0,1,0,0,0,False
30000,556,1,0,0,0,0,0,0,False
75000,557,0,1,0,1,1,0,0,False
10000,558,1,0,0,0,0,0,0,False
5000,559,0,0,0,0,0,0,0,False
50000,560,0,0,0,0,0,0,0,False
150000,561,0,0,0,0,0,0,1,False
50000,562,0,0,0,0,1,0,0,False
50000,563,0,0,0,0,1,0,0,False
100000,564,0,0,0,1,0,1,0,False
75000,565,0,0,0,1,0,0,0,False
20000,566,0,1,0,0,0,0,0,False
30000,567,0,0,1,0,0,0,0,False
10000,568,1,0,0,0,0,1,0,False
150000,569,0,0,0,0,0,0,1,False
20000,570,0,1,0,0,0,0,0,False
50000,571,0,0,0,0,1,0,0,False
30000,572,1,0,0,0,0,0,0,False
150000,573,0,0,0,1,0,1,0,False
100000,574,0,0,0,1,0,1,0,False
15000,575,0,0,1,0,0,0,0,False
15000,576,1,0,0,0,0,0,0,False
75000,577,0,0,0,1,0,0,0,False
75000,578,0,1,0,1,0,1,0,False
200000,579,0,0,0,1,0,0,0,False
10000,580,0,1,0,0,0,0,0,False
20000,581,0,1,0,0,0,0,0,False
10000,582,0,0,1,0,0,0,0,False
5000,583,0,1,0,0,0,0,0,False
50000,584,0,0,0,1,1,1,0,False
75000,585,0,0,0,0,1,0,0,False
200000,586,0,0,0,1,0,0,0,False
15000,587,0,1,0,0,0,0,0,False
50000,588,0,0,0,0,1,0,0,False
150000,589,0,0,0,0,0,0,1,False
50000,590,0,0,0,1,0,0,0,False
100000,591,0,0,0,0,0,0,1,False
30000,592,1,1,0,0,0,0,0,False
15000,593,1,0,1,0,0,0,0,False
10000,594,0,0,1,0,0,0,0,False
50000,595,0,0,0,0,1,0,0,False
10000,596,0,1,0,0,0,0,0,False
200000,597,0,0,0,0,0,0,1,False
200000,598,0,0,0,0,0,1,1,False
50000,599,1,0,0,0,1,0,0,False
75000,600,0,0,0,0,1,0,0,False
30000,601,1,0,0,1,0,0,0,False
20000,602,1,0,0,0,0,0,0,False
15000,603,0,0,0,0,0,0,0,False
200000,604,0,0,0,1,0,0,0,False
200000,605,0,0,0,0,1,1,1,False
30000,606,1,1,0,0,0,0,0,False
20000,607,1,0,0,0,0,0,0,False
100000,608,0,0,0,1,0,0,0,False
100000,609,0,0,0,0,0,0,1,False
50000,610,0,0,0,1,0,0,0,False
30000,611,1,0,0,0,0,0,1,False
150000,612,0,0,0,0,0,0,1,False
15000,613,0,1,0,0,0,0,0,False
150000,614,0,0,0,1,0,0,0,False
75000,615,0,1,0,0,1,0,0,False
75000,616,0,0,0,0,1,0,0,False
30000,617,1,1,0,0,0,1,0,False
50000,618,0,1,0,0,1,0,0,False
10000,619,1,0,0,0,0,0,0,False
75000,620,0,0,0,1,0,0,0,False
100000,621,0,0,0,1,0,1,1,False
100000,622,0,0,0,1,0,0,0,False
50000,623,0,0,0,0,1,0,0,False
15000,624,1,0,0,0,0,0,0,False
150000,625,0,0,0,0,1,1,1,False
30000,626,0,0,1,0,0,0,0,False
20000,627,1,0,1,0,0,0,0,False
75000,628,0,0,0,0,0,1,0,False
75000,629,0,0,0,0,1,0,0,False
5000,630,1,0,0,0,0,0,0,False
5000,631,0,0,1,0,0,0,0,False
100000,632,0,0,0,1,0,1,0,False
50000,633,0,0,0,1,0,0,0,False
75000,634,0,0,0,0,1,0,0,False
30000,635,1,1,0,1,0,0,0,False
75000,636,0,0,0,0,1,0,0,False
15000,637,0,0,1,0,0,0,0,False
150000,638,0,0,0,1,0,1,1,False
50000,639,0,0,0,0,1,0,0,False
30000,640,1,0,0,0,0,0,0,False
50000,641,0,0,0,0,1,0,0,False
100000,642,0,0,0,0,0,0,1,False
5000,643,0,1,0,0,0,0,0,False
30000,644,0,0,1,0,0,0,0,False
10000,645,0,0,1,0,0,0,0,False
200000,646,0,0,0,0,0,1,1,False
100000,647,1,0,0,1,0,0,1,False
20000,648,0,0,1,0,0,0,0,False
20000,649,1,1,0,0,1,0,0,False
30000,650,0,1,0,0,0,0,0,False
